Date,Temperature,W_speed,W_direction,Humidity,Tianjin,Weihai,Seoul
2014-04-30,16.1,2.1,2,62.1,2,2,1
2014-05-01,16,3.2,11,60.5,3,2,2
2014-05-02,15.7,3.6,10,70.9,2,2,2
2014-05-03,13.1,3.9,12,54.6,2,2,1
2014-05-04,12.3,3.8,10,57.8,2,2,1
2014-05-05,11.3,5.1,11,56.5,2,2,1
2014-05-06,13.1,3.4,10,45.9,2,2,1
2014-05-07,15.7,3.8,2,48.3,3,2,1
2014-05-08,14.5,4.2,11,83.9,2,2,1
2014-05-09,16.8,2,12,60.8,2,2,1
2014-05-10,20.5,2.1,3,43.4,2,2,1
2014-05-11,18.9,3.4,3,54.4,1,1,1
2014-05-12,16.4,5.2,10,79.1,1,2,1
2014-05-13,19.2,4,11,69.9,2,2,2
2014-05-14,19.6,3.5,12,59.1,2,2,2
2014-05-15,18.2,4,12,66.9,3,2,2
2014-05-16,19,2.9,12,50.3,3,3,2
2014-05-17,20,2.3,13,48,2,2,2
2014-05-18,20.3,2.4,11,50.1,2,2,2
2014-05-19,20,2.3,12,55.1,3,2,2
2014-05-20,21.5,2.2,12,45.4,3,2,2
2014-05-21,20.1,3.7,12,65.3,3,2,2
2014-05-22,20.9,2.5,12,63.4,3,3,2
2014-05-23,22,2.9,10,68.4,3,2,2
2014-05-24,21.3,2.3,12,68.8,2,1,2
2014-05-25,20.5,2.4,7,78.9,3,1,1
2014-05-26,19.4,4,11,67.4,2,3,2
2014-05-27,22.8,4.2,10,49.5,3,3,4
2014-05-28,24,2.5,12,60.8,2,2,4
2014-05-29,23.2,2.8,11,54.6,2,2,3
2014-05-30,24.8,2.1,13,42.5,3,4,2
2014-05-31,26.2,2.6,11,50.3,3,3,3
2014-06-01,24.7,1.9,12,58.1,2,2,2
2014-06-02,22.6,2.2,3,73.5,1,2,2
2014-06-03,18.7,3.5,3,95.3,2,1,1
2014-06-04,22.8,4.3,3,61.5,2,1,1
2014-06-05,22.9,2.9,3,58.8,2,2,1
2014-06-06,24.4,2.4,2,58.9,2,2,1
2014-06-07,23.5,2.4,12,65.1,1,1,1
2014-06-08,21.4,3,11,75.3,2,1,1
2014-06-09,22.9,2.3,13,70.8,2,2,1
